HouseID,SizeSqFt,Bedrooms,Bathrooms,Location,PriceUSD,RentUSD
1,2218,4,3,New York,716414,4458
2,2632,4,3,Dallas,1231776,8893
3,1452,2,1,San Jose,601128,3640
4,3184,2,2,Chicago,735504,3732
5,3875,1,3,Houston,949375,2289
6,1209,4,1,Dallas,229710,1233
7,4371,5,2,Phoenix,2106822,9309
8,977,4,1,San Antonio,317525,1223
9,1272,3,3,Philadelphia,151368,352
10,3811,1,2,Phoenix,1680651,9445
11,3752,3,1,Chicago,1178128,4894
12,2322,5,2,Houston,485298,2302
13,4985,3,2,Philadelphia,2203370,11394
14,3206,5,3,San Antonio,618758,4915
15,4386,4,1,San Diego,1635978,15529
16,4297,1,2,New York,683223,2895
17,4266,3,2,San Jose,989712,8456
18,3251,5,1,San Antonio,604686,1680
19,516,5,2,Phoenix,185244,785
20,2659,4,2,San Antonio,686022,2854
21,1807,5,3,New York,796887,4947
22,4809,2,2,New York,1995735,12263
23,3205,2,2,Houston,1166620,11461
24,573,5,1,San Diego,152418,1471
25,2327,4,3,San Jose,397917,3619
26,1985,3,2,Philadelphia,444640,2938
27,513,1,2,Phoenix,73872,627
28,4997,2,1,Los Angeles,1054367,8043
29,2330,2,2,Los Angeles,489300,4268
30,2892,1,1,Dallas,1338996,3693
31,3086,5,3,New York,1101702,8850
32,3062,3,3,San Diego,891042,2154
33,2891,1,3,San Diego,1312514,4338
34,4504,4,2,Phoenix,1792592,16151
35,4293,3,1,San Jose,2077812,12395
36,1352,4,3,New York,312312,1677
37,4685,3,3,New York,988535,9356
38,3993,5,3,San Antonio,1848759,7389
39,2608,4,2,San Diego,740672,2014
40,3135,3,1,San Jose,1467180,5029
41,1599,4,2,Los Angeles,591630,5789
42,1834,5,3,Dallas,794122,4668
43,3908,5,3,Chicago,1942276,12535
44,951,3,1,New York,438411,3717
45,4766,4,3,Houston,981796,3887
46,4509,5,1,Houston,477954,3013
47,1169,3,2,Chicago,397460,1602
48,4311,5,3,Chicago,469899,4672
49,4719,3,3,San Jose,1108965,8010
50,3504,1,1,San Jose,890016,6965
51,1842,4,1,Dallas,340770,3391
52,1683,4,3,Houston,528462,1704
53,4126,3,1,Houston,759184,3101
54,2978,5,2,Chicago,1295430,4520
55,2516,3,2,San Jose,558552,1499
56,1870,4,2,Philadelphia,918170,3568
57,1757,5,3,New York,838089,6086
58,3442,3,3,Dallas,1511038,12578
59,4618,3,2,Houston,1177590,2679
60,2792,3,1,Dallas,982784,4823
61,3556,3,2,Dallas,1276604,12554
62,1070,5,1,Los Angeles,231120,1743
63,1586,5,3,San Antonio,302926,2254
64,1548,2,3,San Antonio,404028,1384
65,4166,3,3,Phoenix,829034,5671
66,4040,2,1,Philadelphia,933240,8571
67,1920,3,3,San Diego,570240,2250
68,2427,5,3,Philadelphia,1111566,7679
69,2528,4,2,Dallas,288192,2406
70,4758,5,2,Dallas,685152,1790
71,3203,4,2,Chicago,1066599,7207
72,1379,1,1,Los Angeles,631582,4980
73,4387,1,2,New York,679985,5435
74,612,1,3,San Diego,98532,429
75,762,5,3,Houston,120396,289
76,2175,4,2,San Antonio,830850,8144
77,2887,2,2,Chicago,470581,4379
78,4832,2,3,Chicago,763456,4172
79,4905,1,1,New York,706320,6858
80,2908,3,1,Phoenix,433292,2184
81,1739,5,3,Los Angeles,434750,2790
82,2358,5,1,Los Angeles,844164,3141
83,4897,1,3,Phoenix,1371160,4622
84,1364,2,3,New York,231880,1464
85,1824,4,2,Philadelphia,187872,448
86,2298,3,2,San Antonio,284952,993
87,3010,5,3,Philadelphia,1264200,4371
88,790,1,2,San Diego,197500,545
89,3118,2,1,San Diego,1128716,4809
90,3616,1,3,San Antonio,1435552,4471
91,4611,5,2,Dallas,1406355,8031
92,4183,3,1,Phoenix,836600,5537
93,3919,4,1,Philadelphia,482037,2009
94,1370,5,3,Philadelphia,178100,454
95,3977,2,3,Houston,1670340,15770
96,4124,1,2,Chicago,688708,6531
97,4482,2,3,San Jose,2232036,20930
98,1252,4,2,Phoenix,612228,1860
99,973,5,2,Los Angeles,195573,699
100,1086,2,2,New York,446346,1292
101,1993,4,3,San Antonio,571991,4501
102,1660,3,2,Dallas,180940,1131
103,4424,5,2,New York,844984,3520
104,1647,5,1,New York,480924,2073
105,3607,2,3,Houston,1428372,4257
106,3765,4,3,Houston,628755,1609
107,4721,1,1,San Jose,2251917,12228
108,4901,4,1,Los Angeles,705744,5864
109,3160,1,3,Philadelphia,1027000,4549
110,1788,1,2,San Diego,815328,7302
111,4353,5,2,Houston,513654,2479
112,650,1,3,Los Angeles,85800,657
113,3943,4,1,Los Angeles,1202615,7082
114,3590,2,3,New York,1313940,3419
115,2691,3,2,San Antonio,384813,1735
116,3890,2,3,San Antonio,1672700,5801
117,2786,5,1,Houston,1384642,4323
118,4810,3,1,Chicago,1495910,14389
119,2076,1,2,Dallas,253272,2332
120,2798,4,1,Chicago,1393404,4369
121,4969,2,2,San Jose,2454686,6675
122,2582,3,2,Houston,1234196,5452
123,1227,3,1,San Diego,161964,1097
124,663,3,1,San Antonio,110721,787
125,861,3,1,Philadelphia,186837,1563
126,1584,2,1,San Jose,291456,2863
127,3366,4,2,New York,1403622,4504
128,1026,2,2,San Antonio,185706,1277
129,4820,5,3,Houston,1176080,10834
130,4123,4,3,New York,1921318,15770
131,1216,2,1,San Diego,329536,1531
132,2500,3,2,Los Angeles,575000,3038
133,1306,1,3,Dallas,424450,2817
134,2928,3,2,New York,1174128,4196
135,3503,1,1,Chicago,1513296,6012
136,3316,1,1,Houston,1051172,8494
137,636,5,3,San Antonio,174264,1130
138,3324,1,2,Houston,897480,7110
139,3090,4,1,New York,472770,4693
140,4106,5,1,Dallas,849942,3735
141,3741,4,3,Chicago,1672227,12239
142,4307,4,1,Houston,508226,1129
143,2403,3,2,Dallas,732915,2998
144,2563,3,1,Phoenix,955999,4965
145,4634,5,3,Phoenix,1311422,12266
146,1880,3,2,San Antonio,846000,4235
147,1814,2,1,Chicago,805416,5673
148,943,2,1,Dallas,107502,267
149,3490,4,1,Chicago,565380,4610
150,2996,5,2,San Diego,1294272,7327
151,2730,1,3,Chicago,384930,927
152,4280,2,3,San Antonio,612040,5788
153,986,5,3,New York,257346,2040
154,2649,3,1,Dallas,863574,5487
155,2851,2,2,Phoenix,1054870,6684
156,1171,3,1,San Jose,441467,3458
157,1560,1,1,Philadelphia,396240,1311
158,2696,2,3,Houston,1269816,2723
159,1971,1,3,Chicago,727299,7254
160,4214,5,3,Chicago,1466472,11281
161,760,3,1,San Antonio,309320,823
162,4382,4,1,Philadelphia,1034152,6244
163,1810,5,3,Houston,854320,2001
164,1721,4,2,San Antonio,175542,1100
165,3753,4,3,San Jose,1805193,7905
166,1368,1,1,Philadelphia,210672,494
167,1759,4,2,San Diego,497797,2625
168,1302,1,2,Houston,252588,1718
169,1261,5,3,Los Angeles,374517,922
170,4870,3,2,San Diego,2113580,9126
171,4579,4,2,Phoenix,1538544,9458
172,4465,4,1,Philadelphia,1960135,9922
173,3258,1,2,Phoenix,1241298,6985
174,4507,5,2,San Diego,1523366,6257
175,3273,5,3,Chicago,1613589,15055
176,3684,1,1,Houston,1193616,7643
177,3517,4,2,Phoenix,752638,7489
178,1759,5,1,Houston,362354,2629
179,1590,4,2,San Diego,726630,5502
180,3080,2,1,Los Angeles,646800,5723
181,1674,2,3,Houston,600966,3863
182,4386,3,1,San Jose,1065798,3124
183,4504,4,2,New York,1044928,6715
184,2873,3,3,New York,775710,6096
185,1930,3,2,New York,640760,3221
186,4732,1,1,Phoenix,1897532,7110
187,4342,2,1,New York,1767194,8113
188,2896,2,2,Chicago,770336,3900
189,4158,1,2,San Jose,1085238,6976
190,3122,2,3,San Jose,1432998,8223
